animal,local_pair_index,pair_id,ch1,ch2,distance_px,x1,y1,x2,y2,mid_x,mid_y,algorithm,bottleneck_threshold_px
Kin2,1,BP001-002,1,2,77.14537000208709,89.23792243270543,851.572434322051,110.88948689471022,777.5277324919634,100.06370466370782,814.5500834070072,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,2,BP003-018,3,18,71.54940210551683,154.1926158187198,729.6164548372009,225.2097472540956,738.3275962289758,189.7011815364077,733.9720255330883,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,3,BP004-010,4,10,34.96634550611213,220.30205930937439,683.5718503378187,214.81699631233306,718.1053037123553,217.55952781085372,700.838577025087,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,4,BP005-011,5,11,21.862270666085518,267.0694385473045,659.3050993178738,259.563562867143,679.8385040270579,263.3165007072238,669.5718016724659,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,5,BP006-012,6,12,20.26177791627968,324.51825625315723,640.0161433789435,320.7653184130764,659.9273237030009,322.6417873331168,649.9717335409722,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,6,BP007-013,7,13,20.567587536200584,386.8747619037308,620.1049630548864,390.6276997438117,640.3272555715068,388.75123082377127,630.2161093131966,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,7,BP008-014,8,14,15.129267201814791,433.06476608934116,612.6382704333648,437.9724540340621,626.9494312912809,435.5186100617016,619.7938508623229,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,8,BP009-017,9,17,33.33338998102544,158.81161623728087,767.2610301373716,181.32924327776573,791.8388933498795,170.0704297575233,779.5499617436255,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,9,BP015-023,15,23,10.580999331472933,469.72808191166916,615.4382801664354,477.5226451179909,622.5938605953934,473.62536351483004,619.0160703809145,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,10,BP016-024,16,24,24.30757831586943,512.7425233095187,605.4826900044069,533.2393376668831,618.5494020920694,522.9909304882009,612.0160460482382,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,11,BP019-026,19,26,29.751432212273393,272.8431890705059,700.6830209288053,265.91468844266427,729.6164548372009,269.37893875658506,715.1497378830031,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,12,BP020-027,20,27,26.401522712884915,321.92006851771674,677.9718308716775,318.1671306776358,704.1052550470026,320.04359959767623,691.03854295934,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,13,BP021-028,21,28,25.170332519570838,388.60688706069135,658.3717627401838,384.85394922061045,683.2607381452553,386.7304181406509,670.8162504427196,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,14,BP022-029,22,29,22.35896765721393,444.3235796095837,641.8828165343239,440.8593292956629,663.9717822063249,442.59145445262334,652.9272993703244,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,15,BP025-032,25,32,28.635421505444082,572.789528750812,627.8827678689712,571.9234661723315,656.5050895848035,572.3564974615717,642.1939287268874,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,16,BP030-040,30,40,22.75701355637396,483.58508316735225,645.3050506525212,485.0285207981525,668.016240709649,484.3068019827524,656.660645681085,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,17,BP031-041,31,41,28.522370429330074,521.9805241466408,640.6383677640704,525.4447744605615,668.9495772873391,523.7126493036012,654.7939725257047,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,18,BP033-043,33,43,22.56673590321595,616.9587202533016,654.0161920442963,621.5777206718627,676.1051577162971,619.2682204625821,665.0606748802967,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
