day,animal,date,data_root,n_pairs,states,block_duration_s,n_blocks_per_state,ridge_lambda,full_awake_r2,deep_anesthesia_r2,elapsed_minutes
20110112_george,George,20110112,/mnt/data/ktmd_work/20110112_george/extracted/20110112KTMD_Anesthesia+and+Sleep_George_Toru+Yanagawa_mat_ECoG128,63,"{'deep_anesthesia': 6, 'eyes_closed': 6, 'eyes_open': 6, 'recovery_eyes_closed': 6, 'recovery_eyes_open': 6}",80.0,6,0.003,0.3820085556159185,0.9198289205157169,1.032155958811442
20110113_george,George,20110113,/mnt/data/ktmd_work/20110113_george/extracted/20110113KTMD_Anesthesia+and+Sleep_George_Toru+Yanagawa_mat_ECoG128,63,"{'deep_anesthesia': 6, 'eyes_closed': 6, 'eyes_open': 6, 'recovery_eyes_closed': 6, 'recovery_eyes_open': 6}",80.0,6,0.003,0.3708947325151932,0.9025771159515529,1.547471288839976
20110114_george,George,20110114,/mnt/data/ktmd_work/20110114_george/extracted/20110114KTMD_Anesthesia+and+Sleep_George_Toru+Yanagawa_mat_ECoG128,63,"{'deep_anesthesia': 6, 'eyes_closed': 6, 'eyes_open': 6, 'recovery_eyes_closed': 6, 'recovery_eyes_open': 6}",80.0,6,0.003,0.37142721770155784,0.9068836448310386,0.7119256933530171
20110513_kin2,Kin2,20110513,/mnt/data/ktmd_work/20110513_kin2/extracted/20110513KTMD_Anesthesia+and+Sleep_Kin2_Toru+Yanagawa_mat_ECoG128,64,"{'deep_anesthesia': 6, 'eyes_closed': 6, 'eyes_open': 6, 'recovery_eyes_closed': 6, 'recovery_eyes_open': 6}",80.0,6,0.003,0.3078889932132508,0.8896664553532285,1.8963815172513325
20110523_su,Su,20110523,/mnt/data/ktmd_work/20110523_su/extracted/20110523KTMD_Anesthesia+and+Sleep_Su_Toru+Yanagawa_mat_ECoG128,64,"{'deep_anesthesia': 6, 'eyes_closed': 6, 'eyes_open': 6, 'recovery_eyes_closed': 6, 'recovery_eyes_open': 6}",80.0,6,0.003,0.22239528656589225,0.6360838758310752,0.5692460775375366
20110524_kin2,Kin2,20110524,/mnt/data/ktmd_work/20110524_kin2/extracted/20110524KTMD_Anesthesia+and+Sleep_Kin2_Toru+Yanagawa_mat_ECoG128,64,"{'deep_anesthesia': 6, 'eyes_closed': 6, 'eyes_open': 6, 'recovery_eyes_closed': 6, 'recovery_eyes_open': 6}",80.0,6,0.01,0.2640739911518054,0.8896540913365878,2.58985165754954
20110525_kin2,Kin2,20110525,/mnt/data/ktmd_work/20110525_kin2/extracted/20110525KTMD_Anesthesia+and+Sleep_Kin2_Toru+Yanagawa_mat_ECoG128,64,"{'deep_anesthesia': 6, 'eyes_closed': 6, 'eyes_open': 6, 'recovery_eyes_closed': 6, 'recovery_eyes_open': 6}",80.0,6,0.01,0.2534916010185717,0.8778644744990121,0.6395137786865235
20110526_su,Su,20110526,/mnt/data/ktmd_work/20110526_su/extracted/20110526KTMD_Anesthesia+and+Sleep_Su_Toru+Yanagawa_mat_ECoG128,64,"{'deep_anesthesia': 6, 'eyes_closed': 6, 'eyes_open': 6, 'recovery_eyes_closed': 6, 'recovery_eyes_open': 6}",80.0,6,0.003,0.21746638893067116,0.5737121100771339,1.6957928776741027
20110527_su,Su,20110527,/mnt/data/ktmd_work/20110527_su/extracted/20110527KTMD_Anesthesia+and+Sleep_Su_Toru+Yanagawa_mat_ECoG128,64,"{'deep_anesthesia': 6, 'eyes_closed': 6, 'eyes_open': 6, 'recovery_eyes_closed': 6, 'recovery_eyes_open': 6}",80.0,6,0.001,0.23089904228119895,0.6040315722676992,2.0447722554206846
20110621_chibi,Chibi,20110621,/mnt/data/ktmd_work/20110621_chibi/extracted/20110621KTMD_Anesthesia+and+Sleep_Chibi_Toru+Yanagawa_mat_ECoG128,63,"{'deep_anesthesia': 6, 'eyes_closed': 6, 'eyes_open': 6}",80.0,6,0.01,0.17440893554146875,0.8940509648375655,1.6439668575922648
20110622_chibi,Chibi,20110622,/mnt/data/ktmd_work/20110622_chibi_s12/root,63,"{'deep_anesthesia': 6, 'eyes_closed': 6, 'eyes_open': 6, 'recovery_eyes_closed': 6, 'recovery_eyes_open': 6}",80.0,6,0.01,0.17678314793161654,0.8867700833688608,1.7057971199353537
