animal,fold,heldout_date,training_dates,lambda,k,candidate,nodes
Chibi,LODO,20110621,20110622,0.01,3,18;25;41,BP029-040;BP039-051;BP086-099
Chibi,LODO,20110621,20110622,0.01,4,18;25;32;51,BP029-040;BP039-051;BP072-085;BP117-118
Chibi,LODO,20110621,20110622,0.01,5,4;18;25;32;51,BP006-106;BP029-040;BP039-051;BP072-085;BP117-118
Chibi,LODO,20110622,20110621,0.01,3,41;51;55,BP086-099;BP117-118;BP054-061
Chibi,LODO,20110622,20110621,0.01,4,39;41;51;55,BP082-095;BP086-099;BP117-118;BP054-061
Chibi,LODO,20110622,20110621,0.01,5,25;39;41;51;55,BP039-051;BP082-095;BP086-099;BP117-118;BP054-061
George,LODO,20110112,20110113;20110114,0.003,3,11;21;39,BP013-022;BP032-043;BP082-095
George,LODO,20110112,20110113;20110114,0.003,4,8;17;21;39,BP010-019;BP027-038;BP032-043;BP082-095
George,LODO,20110112,20110113;20110114,0.003,5,2;8;17;21;39,BP004-109;BP010-019;BP027-038;BP032-043;BP082-095
George,LODO,20110113,20110112;20110114,0.001,3,8;17;39,BP010-019;BP027-038;BP082-095
George,LODO,20110113,20110112;20110114,0.001,4,8;17;19;39,BP010-019;BP027-038;BP030-041;BP082-095
George,LODO,20110113,20110112;20110114,0.001,5,8;11;17;19;39,BP010-019;BP013-022;BP027-038;BP030-041;BP082-095
George,LODO,20110114,20110112;20110113,0.001,3,9;17;21,BP011-020;BP027-038;BP032-043
George,LODO,20110114,20110112;20110113,0.001,4,9;17;21;39,BP011-020;BP027-038;BP032-043;BP082-095
George,LODO,20110114,20110112;20110113,0.001,5,2;9;17;21;39,BP004-109;BP011-020;BP027-038;BP032-043;BP082-095
Kin2,LODO,20110513,20110524;20110525,0.01,3,9;27;37,BP019-020;BP055-056;BP075-076
Kin2,LODO,20110513,20110524;20110525,0.01,4,9;27;36;37,BP019-020;BP055-056;BP073-074;BP075-076
Kin2,LODO,20110513,20110524;20110525,0.01,5,9;15;27;36;37,BP019-020;BP031-032;BP055-056;BP073-074;BP075-076
Kin2,LODO,20110524,20110513;20110525,0.01,3,27;35;56,BP055-056;BP071-072;BP113-114
Kin2,LODO,20110524,20110513;20110525,0.01,4,9;27;35;56,BP019-020;BP055-056;BP071-072;BP113-114
Kin2,LODO,20110524,20110513;20110525,0.01,5,9;21;27;35;37,BP019-020;BP043-044;BP055-056;BP071-072;BP075-076
Kin2,LODO,20110525,20110513;20110524,0.01,3,27;35;37,BP055-056;BP071-072;BP075-076
Kin2,LODO,20110525,20110513;20110524,0.01,4,9;27;35;37,BP019-020;BP055-056;BP071-072;BP075-076
Kin2,LODO,20110525,20110513;20110524,0.01,5,9;21;27;35;37,BP019-020;BP043-044;BP055-056;BP071-072;BP075-076
Su,LODO,20110523,20110526;20110527,0.003,3,22;33;36,BP045-046;BP067-068;BP073-074
Su,LODO,20110523,20110526;20110527,0.003,4,13;22;33;36,BP027-028;BP045-046;BP067-068;BP073-074
Su,LODO,20110523,20110526;20110527,0.003,5,13;22;26;33;36,BP027-028;BP045-046;BP053-054;BP067-068;BP073-074
Su,LODO,20110526,20110523;20110527,0.003,3,30;35;58,BP061-062;BP071-072;BP117-118
Su,LODO,20110526,20110523;20110527,0.003,4,7;30;35;58,BP015-016;BP061-062;BP071-072;BP117-118
Su,LODO,20110526,20110523;20110527,0.003,5,13;26;33;35;58,BP027-028;BP053-054;BP067-068;BP071-072;BP117-118
Su,LODO,20110527,20110523;20110526,0.003,3,22;33;36,BP045-046;BP067-068;BP073-074
Su,LODO,20110527,20110523;20110526,0.003,4,30;33;35;58,BP061-062;BP067-068;BP071-072;BP117-118
Su,LODO,20110527,20110523;20110526,0.003,5,26;30;33;35;58,BP053-054;BP061-062;BP067-068;BP071-072;BP117-118
