animal,fold,heldout_date,training_dates,lambda,k,candidate,Q_deep_anesthesia_over_awake,Cspec_deep_anesthesia_over_awake,Aspec_deep_anesthesia_over_awake,Deff_frac_deep_anesthesia_over_awake,Gpair_deep_anesthesia_over_awake,Oorg_deep_anesthesia_over_awake,top_share_deep_anesthesia_over_awake,WMI_deep_anesthesia_over_awake,Q_recovery_eyes_closed_over_awake,Q_recovery_eyes_open_over_awake,Cspec_recovery_eyes_closed_over_awake,Cspec_recovery_eyes_open_over_awake,Aspec_recovery_eyes_closed_over_awake,Aspec_recovery_eyes_open_over_awake,Deff_frac_recovery_eyes_closed_over_awake,Deff_frac_recovery_eyes_open_over_awake,Gpair_recovery_eyes_closed_over_awake,Gpair_recovery_eyes_open_over_awake,Oorg_recovery_eyes_closed_over_awake,Oorg_recovery_eyes_open_over_awake,top_share_recovery_eyes_closed_over_awake,top_share_recovery_eyes_open_over_awake,WMI_recovery_eyes_closed_over_awake,WMI_recovery_eyes_open_over_awake
Chibi,LODO,20110621,20110622,0.01,3,18;25;41,6.068593431265644,6.685535961635007,0.9077198097639904,0.8309737203298087,0.7094038476957665,0.589495954536032,1.365966019642728,3.5774112774550315,,,,,,,,,,,,,,,,
Chibi,LODO,20110621,20110622,0.01,4,18;25;32;51,5.601255692910544,7.166014781662586,0.7816416604726842,0.7417658253484629,0.5755021608842722,0.426887835358146,1.845489192985656,2.391107918034081,,,,,,,,,,,,,,,,
Chibi,LODO,20110621,20110622,0.01,5,4;18;25;32;51,5.937502903136041,8.422356219078479,0.7049693397776621,0.8163741141823619,0.647349643481737,0.5284794917636708,1.6559692387221965,3.137848516594664,,,,,,,,,,,,,,,,
Chibi,LODO,20110622,20110621,0.01,3,41;51;55,3.720372686117596,5.216710323494617,0.71316451468698,1.0040115456941543,1.146931449427171,1.1515324173446106,1.0182186522775043,4.284129752667861,,,,,,,,,,,,,,,,
Chibi,LODO,20110622,20110621,0.01,4,39;41;51;55,3.911693906466261,4.764186260077097,0.8210623373912672,1.0330405994468002,1.179316360394001,1.2182816798788372,0.9697524233299936,4.765545023541532,,,,,,,,,,,,,,,,
Chibi,LODO,20110622,20110621,0.01,5,25;39;41;51;55,3.747611646040663,4.432923667185007,0.8454040555181653,1.0153018911394145,1.052553856726915,1.0686599212609214,1.1279670490927387,4.004922366574325,,,,,,,,,,,,,,,,
George,LODO,20110112,20110113;20110114,0.003,3,11;21;39,0.7866615841122023,0.8519248981621819,0.9233931134178976,1.305928027071139,5.880293527366441,7.679240124792845,0.6023854099648064,6.0409632013475285,0.4530009885992164,0.3970700634918813,0.4734498691486252,0.390997464957442,0.9568087734691304,1.015531043238606,1.2694788582132916,1.2482772422611483,4.8574542195915695,4.859238548106808,6.166435436510441,6.065676894319832,0.6770876573889764,0.708711488316303,2.793401348872475,2.4084987095488115
George,LODO,20110112,20110113;20110114,0.003,4,8;17;21;39,1.291314798746345,1.4336003850258785,0.9007494781909082,0.9428303844317696,2.3948265639412467,2.257915249928139,1.0721560287446332,2.9156793765472533,0.4386266069183349,0.3240728669812704,0.4369668650045195,0.3281370399521614,1.0037983244194002,0.987614403508109,1.1802902330410951,1.1755399241283115,3.031350158519881,3.6920319332140887,3.5778729850285917,4.340130938649793,0.7632307258380425,0.7535166356114263,1.5693502874078706,1.4065186763623516
George,LODO,20110112,20110113;20110114,0.003,5,2;8;17;21;39,1.3096594911049688,1.4730316138522015,0.8890912311651005,0.984860223472304,2.2232102135370027,2.189551307729961,1.0632209072254035,2.8675666514298443,0.4963401798989467,0.372612910567927,0.4971849512110198,0.3754875676397838,0.99830089122767,0.9923442017270342,1.30147850846153,1.2668599208468974,3.465505239109112,4.445986935972646,4.5102805896613445,5.632442657792645,0.6772809543973873,0.693028226313607,2.238633479267252,2.098720852327063
George,LODO,20110113,20110112;20110114,0.001,3,8;17;39,1.590182902005597,1.8962810292259296,0.838579766130296,0.9997852430247376,1.0672640716602009,1.0670348692563645,0.897610910043679,1.6967806049352443,0.6899488251278307,0.728186220467508,0.6733355497003355,0.7007916012798321,1.024673100113144,1.0390909639008887,1.120273627166462,1.0916180485658078,1.668042697599602,1.1572978215354583,1.868664243108436,1.2633271895539973,0.7326830873273552,0.7998370595544366,1.2892826990910509,0.919937451375165
