Seed,Top cluster,Top score,Exact recovery,Jaccard with true workspace,True workspace rank within beam
0,48 49 50 51,3.3891517389387085,True,1.0,1
1,48 49 50 51,2.8839663986581674,True,1.0,1
2,48 49 50 51,4.796735009673297,True,1.0,1
3,48 49 50 51,4.48906971706671,True,1.0,1
4,48 49 50 51,3.9819578708006538,True,1.0,1
5,48 49 50 51,5.327863904346913,True,1.0,1
6,48 49 51 63,3.2661018082766136,False,0.6,5
7,48 49 50 51,3.2706464915597118,True,1.0,1
8,48 49 50 51,3.5125095923756304,True,1.0,1
9,48 49 50 51,2.708152731806865,True,1.0,1
10,48 49 50 51,4.009035191604523,True,1.0,1
11,48 49 50 51,4.930968731454344,True,1.0,1
