Background strength,Seed,Workspace score,Random percentile,Beats all sampled random clusters,Best planted motif is workspace,Margin over best planted decoy
0.75,0,3.215192809950222,100.0,True,True,2.5614589331930424
0.75,1,2.8724746448305094,100.0,True,True,2.5412651265284145
0.75,2,4.9932797118036,100.0,True,True,4.195142722379847
0.75,3,4.633666513078127,100.0,True,True,4.139849471067592
0.75,4,3.9124108881894806,100.0,True,True,3.0275134583525927
0.75,5,5.488926515139527,100.0,True,True,4.139582730971666
0.75,6,3.2170124383573095,100.0,True,True,2.5120209502043687
0.75,7,3.343790786776054,100.0,True,True,2.773491958160493
0.75,8,3.80868083129279,100.0,True,True,2.954773912728859
0.75,9,2.7940223710949947,100.0,True,True,2.4690985882792305
0.75,10,3.9864923561658947,100.0,True,True,3.0442497590354765
0.75,11,5.127350164947187,100.0,True,True,4.450241133325416
0.75,12,3.0830726682925795,100.0,True,True,2.5481118672491165
0.75,13,3.4270209836637395,100.0,True,True,2.872084969458016
0.75,14,3.7100328923053123,100.0,True,True,3.0503851504450568
0.75,15,4.751375879169158,100.0,True,True,3.923131741258085
0.75,16,3.006986932675242,100.0,True,True,2.489490074104104
0.75,17,8.097085416617562,100.0,True,True,6.764499531461452
0.75,18,4.844002283363657,100.0,True,True,3.9423700664384325
0.75,19,2.344936649002232,100.0,True,True,1.9252810706579768
1.0,0,3.3891517389387085,100.0,True,True,2.695053227411246
1.0,1,2.8839663986581674,100.0,True,True,2.55120667550912
1.0,2,4.796735009673297,100.0,True,True,4.03486265556441
1.0,3,4.48906971706671,100.0,True,True,4.013008205684933
1.0,4,3.9819578708006538,100.0,True,True,3.0756724324143843
1.0,5,5.327863904346913,100.0,True,True,4.036248478214213
1.0,6,3.191663627486579,100.0,True,True,2.493426357604203
1.0,7,3.2706464915597118,100.0,True,True,2.7149814755955584
1.0,8,3.5125095923756304,100.0,True,True,2.743317269133016
1.0,9,2.708152731806865,100.0,True,True,2.3929446672737913
1.0,10,4.009035191604523,100.0,True,True,3.060121766399202
1.0,11,4.930968731454344,100.0,True,True,4.282475013989418
1.0,12,3.005455064793169,100.0,True,True,2.486355185403448
1.0,13,3.3773481181118976,100.0,True,True,2.8320784103818304
1.0,14,3.6674168434178003,100.0,True,True,3.017041439348031
1.0,15,4.664408269883522,100.0,True,True,3.8555033988916882
1.0,16,3.016230667212965,100.0,True,True,2.496817949988484
1.0,17,7.813363606790203,100.0,True,True,6.543795645743717
1.0,18,4.655440084585492,100.0,True,True,3.8002284469348093
1.0,19,2.347758063156615,100.0,True,True,1.9275179974143224
1.5,0,4.046768422587459,100.0,True,True,3.194818044206342
1.5,1,2.8841954310414155,100.0,True,True,2.55140479095254
1.5,2,4.5267117217067145,100.0,True,True,3.813952557832315
1.5,3,4.157351417581454,100.0,True,True,3.721431748790798
1.5,4,3.9815284963377704,100.0,True,True,3.075375930810415
1.5,5,4.590918457917636,100.0,True,True,3.544625325015629
1.5,6,3.14904238730966,100.0,True,True,2.4621097081759156
1.5,7,3.1963709858990366,100.0,True,True,2.6554533560596814
1.5,8,3.1004842018221836,100.0,True,True,2.443036527838018
1.5,9,2.5539378661918097,100.0,True,True,2.2562711181506625
1.5,10,3.6637460251956195,100.0,True,True,2.815032693154966
1.5,11,4.596605610312223,100.0,True,True,3.9962895493780106
1.5,12,2.870778103674107,100.0,True,True,2.3788655064224207
1.5,13,3.2578398589828885,100.0,True,True,2.7355976010536325
1.5,14,3.57024268217145,100.0,True,True,2.940837488050162
1.5,15,4.364862834395892,100.0,True,True,3.6211082243404085
1.5,16,3.012159924894794,100.0,True,True,2.493591204578794
1.5,17,7.192319566308973,100.0,True,True,6.05560381096696
1.5,18,4.590503892016462,100.0,True,True,3.7510031335055247
1.5,19,2.3659782295779146,100.0,True,True,1.94195834490574
2.0,0,4.435420601617977,100.0,True,True,3.486112005513986
2.0,1,2.8544555520886417,100.0,True,True,2.5256725810514324
2.0,2,4.319685631652656,100.0,True,True,3.6440331593489765
2.0,3,3.8439132066839936,100.0,True,True,3.4451709876541763
2.0,4,3.236152261497891,100.0,True,True,2.5460232796827382
2.0,5,4.083507983308933,100.0,True,True,3.1899659588603044
2.0,6,3.1172536914946836,100.0,True,True,2.4387103141059576
2.0,7,3.1823068263328054,100.0,True,True,2.644168929841206
2.0,8,2.8365044092240566,100.0,True,True,2.247128068976924
2.0,9,2.421801852752582,99.66666666666667,False,True,2.1392530643514154
2.0,10,3.311056924477721,100.0,True,True,2.5604774807560378
2.0,11,4.303481289337284,100.0,True,True,3.74484900497116
2.0,12,2.749371365109493,100.0,True,True,2.281610240151564
2.0,13,3.1430978172785835,100.0,True,True,2.6426649336158605
2.0,14,3.45661109700747,100.0,True,True,2.851426563491095
2.0,15,4.056497250583613,100.0,True,True,3.3775281225989633
2.0,16,2.9682999518876834,100.0,True,True,2.4587955621292563
2.0,17,5.237763918347384,100.0,True,True,4.477226575590248
2.0,18,4.736948702942976,100.0,True,True,3.861818391700538
2.0,19,2.402515783630369,100.0,True,True,1.970888291710006
